Emoji,Sentiment Score
😂,221
❤,746
♥,657
😍,678
😭,-93
😘,701
😊,644
👌,563
💕,632
👏,520
😁,449
☺,657
♡,669
👍,521
😩,-368
🙏,417
✌,463
😏,332
😉,463
🙌,559
🙈,432
💪,555
😄,421
😒,-374
💃,734
💖,712
😃,557
😔,-146
😱,190
🎉,738
😜,455
☯,1
🌸,650
💜,654
💙,730
✨,351
😳,18
💗,657
★,283
█,-32
☀,465
😡,-173
😎,491
😢,7
💋,691
😋,631
🙊,459
😴,-80
🎶,537
💞,739
😌,482
🔥,139
💯,120
🔫,-194
💛,709
💁,326
💚,656
♫,287
😞,-118
😆,409
😝,423
😪,-80
�,86
😫,-145
😅,178
👊,228
💀,-207
😀,568
😚,710
😻,619
©,117
👀,63
💘,683
🐓,28
☕,244
👋,413
✋,126
🎊,721
🍕,417
❄,506
😥,122
😕,-397
💥,148
💔,-121
😤,-209
😈,265
►,162
✈,415
🔝,474
😰,-20
⚽,616
😑,-311
👑,694
😹,141
👉,390
🍃,378
🎁,759
😠,-299
🐧,456
☆,428
🍀,285
🎈,718
🎅,318
😓,-80
😣,-212
😐,-388
✊,429
😨,-140
😖,-155
💤,370
💓,664
👎,-188
💦,471
✔,270
😷,-169
⚡,177
🙋,485
🎄,531
💩,-116
🎵,500
➡,147
😛,601
😬,194
👯,439
💎,561
🌿,384
🎂,613
🌟,327
🔮,267
❗,100
👫,255
🏆,726
✖,311
☝,309
😙,778
⛄,521
👅,461
♪,534
🍂,547
💏,388
🔪,70
🌴,525
👈,424
🌹,600
🙆,500
➜,162
👻,228
💰,251
🍻,512
🙅,-202
🌞,558
🍁,482
⭐,580
▪,198
🎀,629
━,176
☷,64
🐷,368
🙉,333
🌺,549
💅,388
🐶,576
🌚,464
👽,315
🎤,476
👭,463
🎧,414
👆,326
🍸,539
🍷,393
®,279
🍉,597
😇,587
☑,101
🏃,406
😿,-372
│,343
💣,7
🍺,493
▶,209
😲,-68
🎸,516
🍹,659
💫,500
📚,336
😶,-142
🌷,538
💝,644
💨,381
🏈,530
💍,478
☔,289
👸,605
🇪,616
░,-45
🍩,382
👾,361
☁,308
🌻,570
😵,85
📒,38
↿,648
🐯,476
👼,333
🍔,277
😸,410
👶,434
↾,646
💐,735
🌊,500
🍦,459
🍓,670
👇,247
💆,221
🍴,537
😧,-63
🇸,511
😮,269
▓,11
🚫,-440
😽,571
🌈,516
🙀,330
⚠,-66
🎮,427
╯,-11
🍆,402
🍰,448
✓,287
👐,-23
🙇,140
🍟,302
🍌,435
💑,659
👬,-59
🐣,476
🎃,595
▬,464
￼,-476
😟,72
🐾,605
🎓,563
🏊,575
🍫,152
📷,430
👄,474
🌼,779
🚶,-143
🐱,513
║,145
🐸,-80
🇺,541
👿,-534
🚬,521
✿,384
📖,169
🐒,521
🌍,592
┊,958
🐥,586
🌀,101
🐼,261
🎥,290
💄,435
💸,159
⛔,485
●,176
🏀,254
💉,358
💟,682
🚗,231
😯,123
📝,231
═,15
♦,453
💭,206
🌙,590
🐟,689
👣,344
☞,115
✂,-459
🗿,443
🍝,117
👪,-17
🍭,300
🌃,390
❌,271
🐰,586
💊,431
🚨,638
😦,-368
🍪,316
🍣,-232
╭,161
✧,321
🎆,709
╮,127
🎎,907
🇩,611
✅,407
👹,58
📱,308
🙍,-327
🍑,250
🎼,327
🔊,404
🌌,520
🍎,320
🐻,440
─,140
╰,-60
💇,327
♬,245
♚,41
🔴,396
🍱,-313
🍊,417
🍒,313
🐭,688
👟,417
🌎,319
🍍,468
🐮,587
📲,239
☼,196
🌅,356
🇷,667
👠,356
🌽,444
💧,-159
❓,68
🍬,364
😺,395
🐴,70
🚀,488
¦,581
💢,233
🎬,279
🍧,302
🍜,395
🐏,558
🐘,23
👧,140
⠀,47
🏄,524
➤,310
⬆,286
🍋,244
🆗,537
⚪,450
📺,375
🍅,350
⛅,450
🐢,200
👙,500
🏡,436
🌾,538
◉,256
✏,342
🐬,421
🍤,53
🇹,579
♣,342
🐝,211
🌝,189
🇮,595
🔋,-486
🐍,351
♔,541
🍳,28
🔵,306
😾,-333
🌕,556
🐨,444
🔐,333
💿,611
❁,56
🌳,486
👰,486
❀,400
⚓,571
🚴,657
▀,-143
👗,235
➕,529
💬,364
▒,-30
🔜,273
🍨,212
💲,242
⛽,152
🍙,281
🍗,63
🍲,125
🍥,-594
▸,219
♛,188
😼,355
🐙,387
👨,516
🍚,452
🍖,129
♨,871
🎹,355
♕,387
▃,903
🚘,67
🍏,67
👩,67
👦,133
🇬,267
🇧,267
☠,-33
🐠,414
🚹,690
💵,379
✰,793
╠,207
👛,357
🚙,36
🌱,571
💻,250
🌏,321
▄,-71
👓,296
◄,222
⚾,-37
🌲,385
👴,231
🏠,500
🍇,269
🍘,385
🍛,38
🐇,231
🔞,-38
👵,423
◀,269
🔙,192
🌵,192
🐽,120
🍮,-120
🎇,680
🐎,400
➔,-120
💶,0
🐤,520
╩,200
🛀,125
🌑,458
🚲,375
🐑,-167
🏁,500
🍞,42
🎾,542
╚,292
🈹,292
🐳,130
👮,-348
☹,-522
🐵,478
✪,304
◕,435
🗼,522
▐,-130
♠,304
┳,-348
👺,-182
🐚,227
👂,-136
🗽,318
🍵,364
🆒,364
🍯,45
🐺,227
⇨,455
➨,136
🌓,591
🔒,182
╬,-136
👳,619
🌂,238
🚌,190
♩,524
🍡,-48
❥,238
🎡,286
💌,500
🐩,350
🌜,500
⌚,200
🚿,600
🐖,150
🔆,550
🌛,550
💂,-150
🐔,300
🙎,-50
🏩,421
🇫,474
🔨,-105
📢,421
🐦,421
🐲,-53
♻,474
🌘,579
🍐,158
🌔,579
╥,105
❊,0
👖,333
🚺,167
😗,611
🎭,0
🐄,278
◟,-56
🍢,-111
🎨,167
⬇,389
🚼,556
⛲,56
▁,0
🇴,333
🌗,611
🌖,611
🔅,833
👜,235
🐌,647
💼,529
🚕,0
🐹,294
🌠,529
🐈,294
⇧,118
☎,0
🌁,176
⚫,235
♧,471
🏰,294
🚵,353
🎢,471
🎷,647
🎐,176
┈,-588
╗,353
╱,0
🌇,500
⏰,438
⇩,0
🚂,250
◠,438
🎿,375
✦,63
🆔,750
⛪,125
🌒,563
🐪,563
╔,250
╝,438
👔,333
🔱,67
🆓,200
🐋,200
▽,400
▂,0
🐛,267
👕,400
🚋,67
💳,400
🌆,133
🏧,800
💡,600
🔹,133
⬅,467
🍠,0
🐫,333
🏪,67
۩,0
🇱,400
📹,429
👞,429
🚑,71
🆘,71
👚,571
🚍,71
□,-214
🐂,143
🚣,571
✳,0
🏉,500
🗻,571
🐀,143
╦,357
⛺,462
🐕,231
🏂,385
👡,385
📻,308
✒,231
🌰,538
🏢,154
🎒,462
⌒,538
🏫,-231
📴,615
🚢,231
🚚,-77
🐉,154
❒,231
🐊,77
🔔,769
◢,615
🏥,250
❔,0
🚖,-83
🃏,83
▼,83
▌,-250
☛,333
✩,0
💒,500
🚤,333
🐐,417
■,-250
🔚,333
🎻,333
🔷,167
🚦,83
🔓,83
🎽,417
📅,167
🎺,583
✯,0
🍈,-333
✉,250
╣,0
◤,750
○,455
🍼,455
📀,91
🚛,-182
📓,182
☉,182
💴,-182
┼,0
🐃,0
➰,-91
🔌,-91
🍄,0
📕,182
📣,364
🚓,273
🐗,455
↪,91
⛳,636
┻,-364
┛,545
┃,364
👱,100
⏳,0
💺,200
🏇,-100
☻,200
📞,400
Ⓐ,-100
🌉,500
🚩,-200
✎,500
📃,400
🏨,200
📌,-400
♎,-100
💷,400
🚄,500
▲,500
⛵,500
🔸,200
⌛,100
🚜,700
🐆,300
👒,200
❕,200
🔛,400
♢,300
🇲,400
❅,600
👝,333
✞,333
◡,222
🎋,444
👥,222
📵,111
🐡,222
◆,556
🏯,111
☂,0
🔭,333
🎪,222
🐜,444
♌,556
☐,-667
👷,222
↳,0
🔈,222
📄,667
📍,111
🚐,556
🚔,0
🌋,444
📡,222
⏩,111
🚳,667
✘,556
۞,0
☾,0
🅰,222
📥,0
🇼,333
┓,444
┣,444
Ⓛ,333
Ⓔ,333
🔦,0
👤,500
🚁,125
🎠,375
🐁,-250
📗,125
┐,-125
☮,0
♂,125
◞,0
📯,-125
🔩,125
👢,500
◂,250
📰,250
📶,250
🚥,0
🌄,125
🗾,250
🔶,250
🏤,250
🎩,250
Ⓜ,250
🔧,-375
🐅,125
♮,125
🅾,-125
🔄,0
☄,0
☨,0